case_id;metric_name;period;n_observations;median_seconds;note
KSK;Медиана активной диагностики обращения;До;29;2160;Подвыборка; ожидание клиента и вендора исключено; исходные длительности не приложены
KSK;Медиана активной диагностики обращения;После;35;1440;Подвыборка; ожидание клиента и вендора исключено; исходные длительности не приложены
TD;Медиана активной первичной обработки заявки;До;17;1044;Рассчитана из 17 наблюдений (fact_timing_rows)
TD;Медиана активной первичной обработки заявки;После;19;738;Рассчитана из 19 наблюдений (fact_timing_rows)
